name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
matthew salomone,bridgewater state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mary d shepherd,northwest missouri state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
michelle manes,university of hawaii at manoa,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
chanda prescod weinstein,university of new hampshire,A Only,woman,black,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,other,other
barbara fantechi,sissa,A Only,woman,white,noturm,highered,international,moreri,italy,professor,moresecure,math,mathstat
mikael vejdemo johansson,city university of new york,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,stat,mathstat
max lahn,university of michigan,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
f patricia medina,yeshiva university,A Only,woman,latinx,urm,highered,domesticr2,lessri,NA,assistant,lesssecure,comp,other
benjamin braun,university of kentucky,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
diana thomas,united states military academy,A Only,woman,NA,NA,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
terrence blackman,medgar evers college cuny,A Only,man,black,urm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mark daniel ward,purdue university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,stat,mathstat
andrew cooper,university of pennsylvania,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
susan j sierra,university of edinburgh,A Only,woman,white,noturm,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat
ralph pantozzi,kent place school,A Only,man,white,noturm,nothighered,domesticother,lessri,NA,NA,NA,NA,NA
alison marr,southwestern university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
jessica deshler,west virginia university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
melanie brown,champlain college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
theron j hitchman,university of northern iowa,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
oscar vega,california state university fresno,A Only,man,latinx,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
mariah birgen,wartburg college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
ann clifton,cedar crest college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
mitchel t keller,morningside college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jason e miller,california state university channel islands,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
anil venkatesh,adelphi university,A Only,man,asian,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ellen goldstein,boston college,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
sandra laursen,university of colorado,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,staff,lesssecure,other,other
juanita pinzon caicedo,north carolina state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
benjamin gaines,iona college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
aida alibek,university of illinois at chicago,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
sam cook,boston university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,mathed,mathed
rann bar on,duke university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
casey warmbrand,herberger young scholars academy,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
teri murphy,university of cincinnati,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
jeff graham,susquehanna university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
whitney george,university of wisconsin la crosse,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
joanna wares,university of richmond,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
bahar acu,northwestern university,A Only,woman,middleeast,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
katrina piatek jimenez,central michigan university,A Only,woman,NA,NA,highered,domesticr2,lessri,NA,professor,moresecure,mathed,mathed
jennifer bowen,college of wooster,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
jill shahverdian,quinnipiac university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
ksenija simic muller,pacific lutheran university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
courtney r gibbons,hamilton college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
david clark,grand valley state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
maeve l mccarthy,murray state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kyle petersen,depaul university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
yousuf george,nazareth college,A Only,man,NA,NA,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
quinn a morris,appalachian state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
amy ksir,united states naval academy,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
priscilla bremser,middlebury college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
melanie pivarski,roosevelt university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
robert davis,colgate university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
amy wehe,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
margaret morrow,suny plattsburgh,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
mark branson,stevenson university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
stephanie salomone,university of portland,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
gabriel sosa castillo,colgate university,A Only,man,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jennifer danae berg,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
iian smythe,rutgers university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
federico ardila,san francisco state university,A Only,man,latinx,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
erica shannon,pierce college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
susan d'agostino,NA,A Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
everett howe,NA,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
carol schumacher,kenyon college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kathi crow,salem state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
shelby m scott,university of tennessee,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,other,other
robin t wilson,cal poly pomona,A Only,man,black,urm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
anthony bonato,ryerson university,A Only,man,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
kelly black,university of georgia,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
dylan poulsen,washington college,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
marissa kawehi loving,georgia institute of technology,A Only,woman,pacific,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
nina white,university of michigan,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,mathed,mathed
robert w vallin,lamar university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
yemeen ayub,george mason university,A Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
rebecca rg,george mason university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
ami radunskaya,pomona college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
bruce yoshiwara,los angeles pierce college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
henry adams,colorado state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
jacqueline a hall,longwood university,A Only,woman,NA,NA,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
therese shelton,southwestern university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
joe moeller,university of california riverside,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
erika roldan,ohio state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
diego a robayo bargans,universidad de los andes,A Only,man,latinx,urm,highered,international,moreri,colombia,NA,NA,math,mathstat
david murrugarra,university of kentucky,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
amy parrott,university of wisconsin oshkosh,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
marla williams,university of nebraska,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
alison lynch,california state university monterey bay,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
edgar fuller,florida international university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
sarah griffith,brown university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
kathryn leonard,occidental college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,comp,other
kate owens,college of charleston,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
kay kirkpatrick,university of illinois,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
tyler chen,university of washington,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
sara l uckelman,durham university,A Only,woman,white,noturm,highered,international,moreri,united kingdom,assistant,lesssecure,other,other
emerald stacy,washington college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
christopher duffy,university of saskatchewan,A Only,man,white,noturm,highered,international,moreri,canada,assistant,lesssecure,math,mathstat
sang il oum,institute for basic science kaist,A Only,man,asian,noturm,highered,international,moreri,NA,professor,moresecure,math,mathstat
christopher yakes,salem state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
gulden karakok,university of northern colorado,A Only,woman,NA,NA,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
timothy e goldberg,lenoirrhyne university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
erin meger,ryerson university,A Only,woman,white,noturm,highered,international,moreri,canada,grad,lesssecure,math,mathstat
emily winn,brown university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
christopher hanusa,queens college of cuny,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
volker ecke,westfield state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
matthew g jones,california state university dominguez hills,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
jen mei chang,california state university long beach,A Only,woman,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
natalia garcia colin,sociedad matematica mexicana,A Only,woman,latinx,urm,highered,international,moreri,mexico,NA,NA,NA,NA
matthew cathey,wofford college,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
david desjardins,mit corporation,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
erin wolf chambers,saint louis university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,comp,other
lior pachter,california institute of technology,A Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
jessalyn bolkema,harvey mudd college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
amy velchoff,texas state university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,ntt,lesssecure,math,mathstat
milos savic,university of oklahoma,A Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
darren glass,gettysburg college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
justin lanier,georgia institute of technology,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
cynthia wyels,california state university channel islands,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
emilie hancock,central washington university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
brandy s wiegers,central washington university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
andrew bernoff,harvey mudd college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
blake farman,lafayette college,A Only,man,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
jessie oehrlein,columbia university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
m drew lamar,college of william and mary,A Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,other,other
sue vanhattum,contra costa college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,NA,NA,math,mathstat
vicki lynn holmes,hope college,A Only,woman,black,urm,highered,domesticother,lessri,NA,associate,moresecure,mathed,mathed
phong le,goucher college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
robert t jantzen,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
suzanne sindi,university of california merced,A Only,woman,NA,NA,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
elizabeth kersey,university of northern colorado,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,mathed,mathed
neha gupta,georgia institute of technology,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,NA,NA,math,mathstat
danielle champney,cal poly san luis obispo,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
jonas d'andrea,westminster college utah,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
janine wittwer,westminster college utah,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
carolyn james,university of portland,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
john zobitz,augsburg university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
christine von renesse,westfield state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
andrew schaffner,cal poly san luis obispo,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,stat,mathstat
mario banuelos,california state university fresno,A Only,man,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
vikram kamat,villanova university,A Only,man,asian,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
matthew ando,university of illinois,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
renzo cavalieri,colorado state university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
hannah highlander,university of portland,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
yan zhuang,davidson college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
nicholas battista,college of new jersey,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
anne m ho,university of tennessee,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,mathed,mathed
matthias beck,san francisco state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
aaron weinberg,ithaca college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,mathed,mathed
malena espanol,arizona state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
alexander halperin,salisbury university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
bradley elliott,emory university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jonathan j white,coe college,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
peter chi,villanova university,A Only,man,asian,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
jess ellis hagman,colorado state university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
christopher r lee,university of portland,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
peter muller,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
amzi jeffs,university of washington,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
sarah bryant,dickinson college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
rachel skipper,ohio state university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
chloe urbanski wawrzyniak,rutgers university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
cory colbert,washington and lee university,A Only,man,black,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
eduardo dueäè_äè__ez,university of texas at san antonio,A Only,man,latinx,urm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
susan goldstine,st marys college of maryland,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
martha shott,sonoma state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
maddie schroth glanz,cal poly san luis obispo,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,stat,mathstat
lorraine franco,gwinnett county public schools,A Only,woman,NA,NA,nothighered,NA,NA,NA,NA,NA,NA,NA
matthew k voigt,university of california san diego,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,mathed,mathed
michael t schultz,utah state university,A Only,man,NA,NA,highered,domesticr2,lessri,NA,grad,lesssecure,math,mathstat
corrine yap,rutgers university,A Only,woman,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
andres r vindas melendez,university of kentucky,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
lily khadjavi,loyola marymount university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
rebecca swanson,colorado school of mines,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
erin r moss,millersville university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,mathed,mathed
jaclyn anderson,university of nebraska omaha,A Only,woman,NA,NA,NA,domesticr2,lessri,NA,ntt,lesssecure,math,mathstat
ziva myer,duke university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
meredith sargent,university of arkansas,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
rebecca santorella,brown university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
elizabeth gross,university of hawaii at manoa,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,stat,mathstat
rachel vale,portland state university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,ntt,lesssecure,math,mathstat
leonardo javier rodriguez gutierrez,university of illinois,A Only,man,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
erin angelini,university of washington,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
marta civil,university of arizona,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
emilie wiesner,ithaca college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
xiao xiao,utica college,A Only,man,asian,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
michael vischak,kinkaid school,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
k g valente,colgate university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
martha precup,washington university in st louis,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
christian jah,university of goettingen,A Only,man,white,noturm,highered,international,moreri,germany,NA,NA,math,mathstat
cristina runnalls,cal poly pomona,A Only,woman,NA,NA,highered,domesticother,lessri,NA,assistant,lesssecure,mathed,mathed
andrea arauza rivera,california state university east bay,A Only,woman,latinx,urm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
dave kung,st marys college of maryland,A Only,man,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
lisa bromberg,springfield college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
anna haensch,duquesne university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
elizabeth thoren,pepperdine university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
mike tait,villanova university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
josh laison,willamette university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
amanda knecht,villanova university,A Only,woman,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
jodi mcwhirter,washington university in st louis,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
benjamin dickman,hewitt school,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
priya v prasad,university of texas at san antonio,A Only,woman,asian,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,math,mathstat
moira mcdermott,syracuse university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
rosalyn lapier,university of montana,A Only,woman,native,urm,highered,domesticr2,lessri,NA,associate,moresecure,other,other
michael lacey,georgia institute of technology,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
xander faber,ida center for computing analysis,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
john golden,grand valley state university,A Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
debra k borkovitz,boston university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
maria g martinez,arizona state university,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
dave jensen,university of kentucky,A Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
alexandra newlon,colgate university,A Only,woman,NA,NA,highered,domesticother,lessri,NA,undergrad,lesssecure,math,mathstat
brian l walter,evergreen state college,A Only,man,white,noturm,highered,domesticother,lessri,NA,NA,NA,math,mathstat
matilde lalin,university of montreal,A Only,woman,latinx,urm,highered,international,moreri,canada,professor,moresecure,math,mathstat
luiza coelho,california institute of technology,A Only,woman,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,other,other
geoffrey buhl,california state university channel islands,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
james sheldon,university of arizona,A Only,man,white,noturm,NA,NA,NA,NA,NA,NA,NA,NA
daniel reinholz,san diego state university,A Only,man,white,noturm,highered,domesticr2,lessri,NA,assistant,lesssecure,NA,NA
olivia borghi,university of washington,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
natalie sheils,unitedhealth group,A Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
holly swisher,oregon state university,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
madeline brandt,university of california berkeley,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
kameryn williams,university of hawaii at manoa,A Only,man,white,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
frank a farris,santa clara university,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
sam fleischer,university of california davis,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
catherine buell,fitchburg state university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
piper h,university of hawaii at manoa,A Only,woman,black,urm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
belin tsinnajinnie,santa fe community college,A Only,man,NA,NA,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
amber rosin,cal poly pomona,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
samuel iselin,georgia institute of technology,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
michael wills,layton christian academy,A Only,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
amie wilkinson,university of chicago,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
karen clark,college of new jersey,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
kisun lee,georgia institute of technology,A Only,man,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
kimberly a roth,juniata college,A Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
nicholas fortune,western kentucky university,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
michael robert,university of the sciences,A Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
ashlee kalauli,university of california santa barbara,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
inbar klang,columbia university,A Only,woman,NA,NA,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
paige helms,university of washington,A Only,woman,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
rob oakley,temple university,A Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
kathryn van etten,university of nebraska,A Only,woman,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
rebecca gasper,creighton university,A Only,woman,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
michael dougherty,colby college,A Only,man,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
japheth wood,bard college,A Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
amy beth prager,ncwit,A Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
daniel pollack,university of washington,A Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
