name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
kirsi peltonen,aalto university,C Only,woman,white,noturm,highered,international,moreri,finland,associate,moresecure,math,mathstat
robert penner,university of southern california,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
stefanie petermichl,university of toulouse,C Only,woman,white,noturm,highered,international,moreri,france,professor,moresecure,math,mathstat
anthony phillips,stony brook university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
leonid polterovich,tel aviv university,C Only,man,white,noturm,highered,international,moreri,israel,professor,moresecure,math,mathstat
mihnea popa,northwestern university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
cheryl praeger,university of western australia,C Only,woman,white,noturm,highered,international,moreri,australia,retired,moresecure,math,mathstat
laure saint raymond,ecole normal superieure de lyon,C Only,woman,white,noturm,highered,international,moreri,france,professor,moresecure,math,mathstat
alexander razborov,university of chicago,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
vladimir rokhlin,yale university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,comp,other
xiaochun rong,rutgers university,C Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
regina rotman,university of toronto,C Only,woman,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
hyam rubinstein,university of melbourne,C Only,man,white,noturm,highered,international,moreri,australia,professor,moresecure,math,mathstat
peter sarnak,princeton university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
richard schoen,stanford,C Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
sylvia serfaty,new york university,C Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
natasa sesum,rutgers university,C Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
peter shalen,university of illinois at chicago,C Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
jalal shatah,new york university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
steve shkoller,university of california davis,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
alexandra shlapentokh,east carolina university,C Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
carol shubin,california state university northridge,C Only,woman,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
thomas spencer,institute for advanced study,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
daniel stein,new york university,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
jeffrey streets,university of california irvine,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
daniel stroock,massachusetts institute of technology,C Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
catherine sulem,university of toronto,C Only,woman,NA,NA,highered,international,moreri,canada,professor,moresecure,math,mathstat
tatiana suslina,st petersburg state university,C Only,woman,white,noturm,highered,international,moreri,russia,professor,moresecure,other,other
gabor szekelyhidi,notre dame,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
leon takhtajan,stony brook university,C Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
michael taylor,university of north carolina,C Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
